-3.14;0.0301936;0.0596136
-3.13;0.205416;0.057671
-3.12;0.355866;0.0565623
-3.11;0.481545;0.0562873
-3.1;0.582452;0.0568462
-3.09;0.658588;0.0582389
-3.08;0.709952;0.0604654
-3.07;0.742221;0.0635257
-3.06;0.777575;0.0674198
-3.05;0.81825;0.0721477
-3.04;0.864248;0.0777095
-3.03;0.915174;0.0841208
-3.02;0.962442;0.091725
-3.01;1.00255;0.100662
-3;1.03549;0.110933
-2.99;1.06128;0.122536
-2.98;1.081;0.134778
-2.97;1.09633;0.146604
-2.96;1.10728;0.158002
-2.95;1.11385;0.168973
-2.94;1.11605;0.179515
-2.93;1.11387;0.18963
-2.92;1.10758;0.199354
-2.91;1.10047;0.209149
-2.9;1.09353;0.219152
-2.89;1.08675;0.229363
-2.88;1.08014;0.239782
-2.87;1.07368;0.25041
-2.86;1.0674;0.261246
-2.85;1.06128;0.272289
-2.84;1.05532;0.283541
-2.83;1.04954;0.295005
-2.82;1.04399;0.306697
-2.81;1.03869;0.318619
-2.8;1.03363;0.33077
-2.79;1.0288;0.34315
-2.78;1.02422;0.35576
-2.77;1.01988;0.368599
-2.76;1.01578;0.381667
-2.75;1.01192;0.394965
-2.74;1.0084;0.408493
-2.73;1.00537;0.42225
-2.72;1.00284;0.436236
-2.71;1.0008;0.450452
-2.7;0.999246;0.464897
-2.69;0.998188;0.479571
-2.68;0.997623;0.494475
-2.67;0.99755;0.509609
-2.66;0.997962;0.524972
-2.65;0.998519;0.540564
-2.64;0.99903;0.556386
-2.63;0.999498;0.572437
-2.62;0.999921;0.588718
-2.61;1.0003;0.605198
-2.6;1.00063;0.621819
-2.59;1.00092;0.638578
-2.58;1.00117;0.655475
-2.57;1.00135;0.67251
-2.56;1.00134;0.689683
-2.55;1.0011;0.706995
-2.54;1.00063;0.724444
-2.53;0.999942;0.742031
-2.52;0.999027;0.759757
-2.51;0.997886;0.777621
-2.5;0.99652;0.795622
-2.49;0.994928;0.813762
-2.48;0.993111;0.83204
-2.47;0.991069;0.850456
-2.46;0.988801;0.86901
-2.45;0.986307;0.887702
-2.44;0.983589;0.906533
-2.43;0.980645;0.925501
-2.42;0.977475;0.944608
-2.41;0.97408;0.963852
-2.4;0.97046;0.983235
-2.39;0.966602;1.00276
-2.38;0.962493;1.02241
-2.37;0.958133;1.04221
-2.36;0.953523;1.06215
-2.35;0.948662;1.08222
-2.34;0.943551;1.10243
-2.33;0.938189;1.12278
-2.32;0.932576;1.14327
-2.31;0.926712;1.16388
-2.3;0.920598;1.18428
-2.29;0.914233;1.20434
-2.28;0.907617;1.22407
-2.27;0.900751;1.24346
-2.26;0.893634;1.2625
-2.25;0.886266;1.28121
-2.24;0.878648;1.29958
-2.23;0.870779;1.31762
-2.22;0.862659;1.33531
-2.21;0.854288;1.35266
-2.2;0.845667;1.36968
-2.19;0.836795;1.38635
-2.18;0.827672;1.40269
-2.17;0.818299;1.41869
-2.16;0.808675;1.43435
-2.15;0.7988;1.44967
-2.14;0.788675;1.46465
-2.13;0.778299;1.4793
-2.12;0.767672;1.4936
-2.11;0.756795;1.50757
-2.1;0.745667;1.52119
-2.09;0.734288;1.53448
-2.08;0.722658;1.54743
-2.07;0.710778;1.56004
-2.06;0.698647;1.57231
-2.05;0.686265;1.58425
-2.04;0.673633;1.59584
-2.03;0.66075;1.6071
-2.02;0.647616;1.61801
-2.01;0.634232;1.62859
-2;0.620597;1.63883
-1.99;0.606711;1.64873
-1.98;0.592575;1.65829
-1.97;0.578187;1.66752
-1.96;0.56355;1.6764
-1.95;0.548661;1.68494
-1.94;0.533524;1.69315
-1.93;0.518255;1.70102
-1.92;0.502914;1.70855
-1.91;0.487502;1.71574
-1.9;0.47202;1.72259
-1.89;0.456467;1.7291
-1.88;0.440843;1.73527
-1.87;0.425148;1.74113
-1.86;0.409383;1.74672
-1.85;0.393546;1.75207
-1.84;0.377639;1.75716
-1.83;0.361661;1.762
-1.82;0.345612;1.76659
-1.81;0.329492;1.77093
-1.8;0.313302;1.77502
-1.79;0.29704;1.77886
-1.78;0.280708;1.78245
-1.77;0.264305;1.78579
-1.76;0.247831;1.78887
-1.75;0.231286;1.79171
-1.74;0.214671;1.79429
-1.73;0.197984;1.79663
-1.72;0.181227;1.79871
-1.71;0.164399;1.80054
-1.7;0.1475;1.80212
-1.69;0.130531;1.80345
-1.68;0.11349;1.80453
-1.67;0.0963788;1.80536
-1.66;0.0791967;1.80594
-1.65;0.0619437;1.80627
-1.64;0.0446199;1.80635
-1.63;0.0272252;1.80617
-1.62;0.00975975;1.80575
-1.61;-0.00777654;1.80507
-1.6;-0.0253837;1.80414
-1.59;-0.0430616;1.80296
-1.58;-0.0608104;1.80154
-1.57;-0.07863;1.79986
-1.56;-0.0965204;1.79793
-1.55;-0.114482;1.79575
-1.54;-0.132514;1.79331
-1.53;-0.150617;1.79063
-1.52;-0.16879;1.7877
-1.51;-0.187035;1.78451
-1.5;-0.20535;1.78108
-1.49;-0.223737;1.77739
-1.48;-0.242194;1.77346
-1.47;-0.260722;1.76927
-1.46;-0.27932;1.76483
-1.45;-0.29799;1.76014
-1.44;-0.31673;1.7552
-1.43;-0.335541;1.75001
-1.42;-0.354423;1.74457
-1.41;-0.373376;1.73887
-1.4;-0.3924;1.73293
-1.39;-0.411494;1.72674
-1.38;-0.43066;1.72029
-1.37;-0.449896;1.7136
-1.36;-0.469203;1.70665
-1.35;-0.488581;1.69945
-1.34;-0.508029;1.692
-1.33;-0.527547;1.6843
-1.32;-0.546865;1.67635
