v;angle;omega;lift;moment
4;0.16;1700;-0.23129822026631405;-5.3099295521016906e-05
4;0.16;1900;-0.2877795226003985;-4.961034406567479e-05
4;0.16;2000;-0.3184380507393195;-4.8222850066069754e-05
4;-0.8;1000;-0.0749365170741439;0.0001374768471750345
4;-0.8;1400;-0.1620943873579827;-5.887947070971603e-05
4;-0.8;1700;-0.2484572507166058;6.791917654348415e-05
4;-0.8;1900;-0.2976365327417895;0.00012981231123762626
4;-0.8;2000;-0.28330692410790537;0.000692936558121458
4;-0.16;1000;-0.07979217088234464;6.627090535798311e-05
4;-0.16;1400;-0.15489209092932776;0.00011700385650770394
4;-0.16;1700;-0.2233740406233592;0.0001448305108853986
4;-0.16;1900;-0.2761891132635155;0.00017085935916819655
4;-0.16;2000;-0.3018455408963665;0.0002591645365881589
5;0.0;1000;-0.0834992417180368;9.139944709831581e-06
5;0.0;1400;-0.1569791743257626;-9.601592414863454e-06
5;0.0;1700;-0.2261335528740975;6.295396085624202e-05
5;0.0;1900;-0.280528620104353;8.688101284997668e-05
5;0.0;2000;-0.3114387531910504;0.00011504674939362415
5;0.8;1000;-0.07917725221170824;-7.108808625184537e-05
5;0.8;1400;-0.15719825102536544;-0.00011590094950360896
5;0.8;1700;-0.23211905813755102;-0.00014229782847704635
5;0.8;1900;-0.2899305628499854;-0.00015746692517656794
5;0.8;2000;-0.32120752817034326;-0.00016495275077143862
5;0.16;1000;-0.08385069741119824;-7.525139689404874e-05
5;0.16;1400;-0.16060588497712414;-9.363924051544479e-05
5;0.16;1700;-0.23387135177151996;-8.983101040236811e-05
5;0.16;1900;-0.29037037910157504;-8.615040936113102e-05
5;0.16;2000;-0.3209562039097311;-8.462468263346274e-05
5;-0.8;1000;-0.05833774388973544;0.0005087697572503469
5;-0.8;1400;-0.1524962374131365;8.20657278048266e-05
5;-0.8;1700;-0.22550075337471887;0.0001956798950259722
5;-0.8;1900;-0.30596485661751005;0.00024276526968999455
5;-0.8;2000;-0.3404551198210826;0.00019318539374040753
5;-0.16;1000;-0.08016510284201564;7.452046827337747e-05
5;-0.16;1400;-0.1587094465520284;0.00013775614910118845
5;-0.16;1700;-0.22979771233676655;0.0001536769049524989
5;-0.16;1900;-0.2821972898332722;0.0001674382359014003
5;-0.16;2000;-0.31031446000007157;0.00020309232722937737
